Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
80672,492,25,100,1604540.66,,INICIAL,NULL,S/N,11/12/2017 00:00
80673,493,61,100,2597227.11,,INICIAL,NULL,S/N,11/12/2017 00:00
80674,494,111,100,1329290.54,,INICIAL,NULL,S/N,11/12/2017 00:00
80675,495,95,100,2372217.07,,INICIAL,NULL,S/N,11/12/2017 00:00
80676,496,6,100,605882.88,,INICIAL,NULL,S/N,11/12/2017 00:00
80677,497,31,100,466250.4,,INICIAL,NULL,S/N,11/12/2017 00:00
80678,498,42,100,1079739.46,,INICIAL,NULL,S/N,11/12/2017 00:00
80679,499,86,100,265668.07,,INICIAL,NULL,S/N,11/12/2017 00:00
80680,500,42,100,1566154.47,,INICIAL,NULL,S/N,11/12/2017 00:00
80681,501,10,100,12207.82,,INICIAL,NULL,S/N,11/12/2017 00:00
80683,503,112,49.3,344177.62,,INICIAL,NULL,S/N,11/12/2017 00:00
80684,503,10,59.7,353909.35,,INICIAL,NULL,S/N,11/12/2017 00:00
80685,504,25,100,4805546.3,,INICIAL,NULL,S/N,11/12/2017 00:00
80686,505,25,100,4411313.16,,INICIAL,NULL,S/N,11/12/2017 00:00
80687,506,31,100,1205128.28,,INICIAL,NULL,S/N,11/12/2017 00:00
80688,507,31,100,1205128.28,,INICIAL,NULL,S/N,11/12/2017 00:00
80689,508,25,100,3069572.87,,INICIAL,NULL,S/N,11/12/2017 00:00
80690,509,61,100,3138139.69,,INICIAL,NULL,S/N,11/12/2017 00:00
80691,510,95,100,3315915.67,,INICIAL,NULL,S/N,11/12/2017 00:00
80693,512,1,100,519231.52,,INICIAL,NULL,S/N,11/12/2017 00:00
80698,517,1,100,29384.7,,INICIAL,NULL,S/N,11/12/2017 00:00
80699,518,1,100,2553516.4,,INICIAL,NULL,S/N,11/12/2017 00:00
80701,520,1,100,744286.51,,INICIAL,NULL,S/N,11/12/2017 00:00
80702,186,25,100,196757.02,AMPLIACIÓN DE CONTRATO,AMPLIACION,NULL,S/N,21/11/2017 00:00
80704,316,62,100,84840.33,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80705,341,66,100,68868.04,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80706,292,57,100,570017.39,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80708,376,55,7.94,25085.28,,INICIAL,NULL,S/N,02/01/2017 00:00
80711,522,61,100,5189156.35,,INICIAL,NULL,s/n,13/12/2017 00:00
80712,267,37,100,1112489.48,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80713,343,67,100,88923.57,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80715,524,7,100,173348.8,MGGS,INICIAL,NULL,s/n,14/12/2017 00:00
80716,525,95,100,1428137.76,MGGS,INICIAL,NULL,S/N,14/12/2017 00:00
80717,446,97,100,26681.45,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80718,205,10,100,5639296.77,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80720,526,113,100,599999.84,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80721,527,95,100,1511740.68,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80722,528,25,100,882301.48,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80723,529,114,100,2374019.25,,INICIAL,NULL,S/N,18/12/2017 00:00
80724,530,61,100,4923887.84,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80725,531,25,100,780747.31,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80726,532,25,100,1017414.49,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80727,533,25,100,1508651.11,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80730,536,61,100,3472206.83,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80731,537,115,100,12863839.6,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80732,538,115,100,13043905.93,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80733,539,115,100,7010299.47,MGGS,INICIAL,NULL,S/N,18/12/2017 00:00
80737,286,56,100,273223.3,,AMPLIACION,NULL,S/N AMPLIACION,02/01/2017 00:00
80739,540,36,50,664645.27,,INICIAL,NULL,,19/12/2017 00:00
80740,540,116,50,664645.27,,INICIAL,NULL,,19/12/2017 00:00
80741,541,36,50,741686.38,,INICIAL,NULL,,19/12/2017 00:00
80742,541,116,50,741686.38,,INICIAL,NULL,,19/12/2017 00:00
80743,542,36,50,692380.07,,INICIAL,NULL,,19/12/2017 00:00
80744,542,116,50,692380.07,,INICIAL,NULL,,19/12/2017 00:00
80745,534,36,50,747849.67,,INICIAL,NULL,,19/12/2017 00:00
80746,534,116,50,747849.67,,INICIAL,NULL,,19/12/2017 00:00
80747,523,36,50,741686.38,,INICIAL,NULL,,19/12/2017 00:00
80748,523,116,50,741686.38,,INICIAL,NULL,,19/12/2017 00:00
80749,535,36,50,744768.03,,INICIAL,NULL,,19/12/2017 00:00
80750,535,116,50,744768.03,,INICIAL,NULL,,19/12/2017 00:00
80751,543,48,100,3633119.55,,INICIAL,NULL,S/N,02/01/2017 00:00
80752,544,23,100,1096800.62,,INICIAL,NULL,S/N,19/12/2017 00:00
80753,256,35,100,266915.74,,AMPLIACION,NULL,S/N 2SA AMPLIACION,02/01/2017 00:00
80754,545,117,100,7411942.96,,INICIAL,NULL,S/N,20/12/2017 00:00
80756,547,95,100,3541990.71,,INICIAL,NULL,s/n,20/12/2017 00:00
