Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
6005,566,3,1517.85
7102,1214,2,2140.87
7230,1295,3,532.49
9261,2730,3,4825.54
5348,195,3,4899.21
5443,252,3,582
6411,796,3,777.63
7147,1244,3,703.42
7260,1323,1,188.19
7877,1784,3,16589.05
8038,1907,2,13042.19
8440,2176,2,911.6
8579,2260,3,399.38
9125,2623,2,5182.15
9558,2952,3,-457.67
4991,4,3,83.41
5019,19,1,219.07
5482,275,1,236.4
5816,460,2,8480
5924,521,1,71.88
6144,647,1,314.69
6379,778,3,1058.76
8226,2041,1,490.53
5512,291,1,61.72
5933,525,3,1752.32
6568,880,3,321.85
8403,2153,3,345.78
9391,2819,1,6062.96
5787,446,1,80.36
7398,1430,3,5995.55
9266,2736,3,1319.1
9358,2797,1,56.96
6597,902,1,22.22
9242,2716,2,772.3
6140,645,1,70.84
7199,1275,1,961.41
8418,2162,3,2781.25
6085,611,3,681.38
7576,1573,3,4056.48
5761,433,1,270.34
6207,682,3,445.75
6917,1098,3,480.7
6953,1121,3,516.36
8185,2013,3,256.45
8797,2402,3,1830.83
8908,2474,2,582.25
5088,58,1,385.4
5195,114,3,398.98
6243,702,3,206.29
7142,1242,1,265.02
7740,1690,1,241.99
8633,2297,3,993.94
9471,2888,1,148.12
5736,420,1,185.47
6707,969,3,342.34
8419,2163,1,584.46
8758,2376,2,2309.76
9013,2548,1,376.11
9063,2585,2,478.01
5563,320,1,18.22
6383,780,3,840.15
6496,840,3,2069.02
8052,1917,1,140.8
8283,2079,1,22.12
8297,2088,1,393.89
5557,317,1,121.03
6039,583,3,968.01
6090,615,1,283.2
6335,752,1,144.94
7054,1182,3,123.62
7151,1246,3,156.39
7269,1328,1,2.81
5582,331,3,6700.96
5773,439,1,75.84
7084,1202,1,112.27
5205,119,3,710.7
5344,193,1,336.17
6780,1013,1,44.35
8666,2317,1,50.74
5014,16,3,747.65
7922,1825,3,1769.03
8441,2177,1,162.9
9448,2867,2,481.43
9481,2896,1,19.69
5729,413,3,177.55
7574,1573,1,811.3
8547,2241,1,258.76
6548,868,1,364.07
7780,1722,1,236.78
5748,427,1,84.6
6634,923,1,204.88
7247,1315,3,590.63
8957,2508,1,1251.56
5553,315,1,109.77
6046,587,1,95.55
7928,1830,1,428.09
8527,2229,1,155.34
5719,408,3,605.09
8396,2150,1,26.64
8637,2299,3,5414.32
8683,2327,1,124.08
6321,744,1,107.1
6325,747,1,907.99
6434,807,3,43.83
7595,1590,2,315.33
7661,1638,2,1242.27
7871,1779,2,1778.78
8195,2020,2,870.31
8919,2483,2,1185.03
5720,409,1,178.46
6235,698,3,444.63
6772,1009,1,118.96
6954,1122,1,354.55
8101,1949,1,76.52
8557,2249,1,56.45
9580,2961,1,283.66
5982,551,1,636.24
7797,1733,1,148.36
9116,2616,2,1367.66
9344,2788,3,7607.63
5851,479,3,8335.49
5955,537,3,876.8
6364,766,3,340.54
7403,1433,3,1598.59
7507,1515,2,74.72
9008,2543,3,11627.2
9060,2584,1,3343.66
5630,356,1,996.22
8720,2351,3,376.37
9098,2606,1,367.86
9496,2907,3,1583.22
9516,2922,1,31.76
5264,149,3,559.19
7078,1197,3,579.11
7238,1301,2,489.67
7393,1424,2,782.14
7504,1511,3,3120.8
