Id_Obra,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Id_Oficio_Asignacion_Obra
88,91,"CONSTRUCCION DE LAS BARDAS DEL AREA DE DEPOSITO, CONFINAMIENTO DE ESCOMBRO Y BASURA PANTEON NORTE",Unitario,1,1,Obra,1,0
89,85,REHABILITACION DE SANITARIOS EN LA SECUNDARIA EHECATL CCT 11DES0092C; REHABILITACION DE SANITARIOS E,Unitario,1,1,Obra,1,0
90,93,PROYECTO EJECUTIVO DE RENOVACION DE PARADEROS 1RA. ETAPA SIT OPTIBUS DE BLVD. FRANCISCO VILLA A AV.,Unitario,1,1,Obra,1,0
91,95,REHABILITACION DE SANITARIOS EN LA SECUNDARIA TECNICA NUM 33 CCT 11DST0045K; REHABILITACION DE SANIT,Unitario,1,1,Obra,1,0
92,96,REHABILITACION DE SANITARIOS EN LA TELESECUNDARIA NUM. 1107 CCT 11ETV1107Z; REHABILITACION DE SANITA,Unitario,1,1,Obra,1,0
93,97,PAVIMENTACION DE LA CALLE VERONA (TRAMO: DE CALLE FLUMINENSES A BOTAFOGO) LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
94,98,PAVIMENTACION DE LA CALLE MADRE CELIA (TRAMO: CALLE MADRE SIERRA-TOPAR CON BALDIO) LEON DE LOS ALDAM,Unitario,1,1,Obra,1,0
95,99,PAVIMENTACION DE LA CALLE OCTAVIO MUÑOZ LEDO TRAMO: DEL BLVD. TELLEZ CRUCES A ANTONIO HERNANDEZ LEON,Unitario,1,1,Obra,1,0
96,100,PAVIMENTACION DE LA CALLE BENGALIES DE CINCINNATI TRAMO: CARGADORES DE SAN DIEGO A VAQUEROS DE DALLA,Unitario,1,1,Obra,1,0
97,102,PAVIMENTACION DE LA CALLE RACING TRAMO: CALLE BOTAFOGO A REAL SOCIEDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
98,92,"REALIZACION PAQUETE #2 DE MANIFIESTOS DE IMPACTO AMBIENTAL PARA PLAZAS, CALLES, CAMINOS, CICLOVIAS E",Unitario,1,1,Obra,1,0
99,103,"PAVIMENTACION DE LA CALLE BALCON DE LAS LUCIERNAGAS (´RIMERA ETAPA), TRAMO: BALCON DE LAS GOLONDRINA",Unitario,1,1,Obra,1,0
100,90,"ESTUDIO DE MECANICA DE SUELOS EN DIFERENTES MINI DEPORTIVAS DE LA CIUDAD DE LEÓN, GTO.",Unitario,1,1,Obra,1,0
101,94,AMPLIACION DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEON (SIT OPTIBUS) 3A Y 4A ETAPA. CORREDOR TRONCAL,Unitario,1,1,Obra,1,0
102,104,PAVIMENTACION DE LA CALLE PIÑONCILLO TRAMO: DULCINEA DEL TOBOSO A BLVD. PASEO DE LA PRESA LEON DE LO,Unitario,1,1,Obra,1,0
103,105,PAVIMENTACION DE LA CALLE SAN JOSE DEL AMAZONAS TRAMO: SAN JOSE DE AMAZONAS A SAN JOSE DE OCA LEON D,Unitario,1,1,Obra,1,0
104,106,PAVIMENTACION DE LA CALLE SAN JOSE DE LAS MATAS TRAMO: SAN JOSE DEL CABO A SAN JOSE DEL REFUGIO LEON,Unitario,1,1,Obra,1,0
105,107,PAVIMENTACION DE LA CALLE CERRO PLANO TRAMO: CERRO DE LOS  MILAGROS CALLE CERRO DEL CUBO LEON DE LOS,Unitario,1,1,Obra,1,0
106,108,PAVIMENTACION DE LA CALLE BALCON DE LOS COLIBRIES TRAMO: ARROYO LAS LANGOSTAS-BALCON DE LA MONARCA C,Unitario,1,1,Obra,1,0
107,111,PAVIMENTACION DE LA CALLE MADRE EMELIA TRAMO: MADRE TIERRA-MADRE FABIOLA LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
108,113,PAVIMENTACION DE LA CALLE VALLE CEYLAN TRAMO: CALLE MADRE TIERRA-VALLE ARIZPE LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
109,114,PROYECTO EJECUTIVO DEL PUENTE PEATONAL SOBRE BULEVAR AEROPUERTO EN EL CRUCE DE BULEVAR AEROPUERTO,Unitario,1,1,Obra,1,0
110,118,PAVIMENTACION DE LA CALLE SANTALLANA TRAMO: AVENIDA MARCEL A SOLARES LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
111,101,"ELABORACION DE ESTUDIOS AMBIENTALES PARA PROYECTOS EJECUTIVOS DE CALLES FIDOC, PLAZAS, PARQUES Y CIC",Unitario,1,1,Obra,1,0
112,109,PAVIMENTACION DE LA CALLE REAL DEL ORO TRAMO: DE REAL DEL CASTILLO A TOPAR LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
113,110,PROYECTO CALLE DE LOS ATES TRAMO: VALLE DEL EJIDO-SALTILLO COL. VALLE DE SAN BERNARDO,Unitario,1,1,Obra,1,0
114,116,PAVIMENTACION  DE LA CALLE CAMPO ALARGADO TRAMO: CAMPO ESCONDIDO A CAMPO ALEGRE LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
115,119,"CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA AMPLIACION SAN FRANCISCO, LOCALIDAD MEDINA",Unitario,1,1,Obra,1,0
116,120,"CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA AMPLIACION MEDINA, LOCALIDAD MEDINA",Unitario,1,1,Obra,1,0
117,122,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA HUERTAS DE MEDINA LOCALIDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
118,115,"PAVIMENTACION DE CALLE BALCON DE LAS LUCIERNAGAS, TRAMO BLVD. LAS JOYAS A BALCON DE LOS CHARRANES CE",Unitario,1,1,Obra,1,0
119,123,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA EL PEÑON LOCALIDAD MEDINA,Unitario,1,1,Obra,1,0
120,124,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA PIEDRA AZUL I LOCALIDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
121,112,PAVIMENTACION DE LA CALLE FLUMINENSES TRAMO: BLVD. TELLEZ CRUCES A TURIN LEON DE LOS ALDAMA;,Unitario,1,1,Obra,1,0
122,117,PAVIMENTACION DE LA CALLE INTER DE MILAN TRAMO: REAL SOCIEDAD A REAL MADRID  LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
123,132,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA CUMBRES DE MEDINA LOCALIDAD MEDINA,Unitario,1,1,Obra,1,0
124,137,PAVIMENTACION DE LA CALLE  SAN JOSE DE LA CRUZ TRAMO: SAN JOSE DEL REFUGIO A SAN JOSE DE COSTA RICA,Unitario,1,1,Obra,1,0
125,121,"CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA 10 DE MAYO, LOCALIDAD LEON",Unitario,1,1,Obra,1,0
126,125,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA LEON I LOCALIDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
127,126,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA REFUGIO DE SAN JOSE LOCALIDAD LEON DE LOS ALDAMA;,Unitario,1,1,Obra,1,0
128,127,"CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA LOMAS DE LA SELVA LOCALIDAD LEON DE LOS ALDAMA,",Unitario,1,1,Obra,1,0
129,130,PROYECTO EJECUTIVO: CALLE RURAL SAN JOSE DEL RESPLANDOR TRAMO: E.C. SAN JUDAS-BARRETOS A DE LA ILUSI,Unitario,1,1,Obra,1,0
130,128,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA LAGOS DE MEDINA LOCALIDAD MEDINA,Unitario,1,1,Obra,1,0
131,136,PAVIMENTACION DE LA CALLE TIERRA Y LIBERTAD TRAMO: DE H. AYUNTAMIENTO A CORREGIDORA LEON DE LOS ALDA,Unitario,1,1,Obra,1,0
132,138,PROYECTO EJECUTIVO DE LA CALLE RURAL PRINCIPAL LOS TEPETATES EN LA COMUNIDAD LOS TEPETATES,Unitario,1,1,Obra,1,0
133,139,"CONSTRUCCION DE CICLOVIA BLVD. ANTONIO MADRAZO, TRAMOL: BLVD. MARIA IZQUIERDO A BLVD. VICENTE VALTIE",Unitario,1,1,Obra,1,0
134,140,"CONSTRUCCION DE CICLOVIA BLVD. VICENTE VALTIERRA, TRAMO: DE MALECON DEL RIO AL ACCDESO FRACCIONAMIEN",Unitario,1,1,Obra,1,0
135,144,REVESTIMIENTO DE CAMINO LOZA DE LOS PADRES-LADRILLERAS DEL REFUGIO LOCALIDAD LOZA DE LOS PADRES;,Unitario,1,1,Obra,1,0
136,145,REVESTIMIENTO DE CAMINO A LA PATIÑA - HACIENDA ARRIBA LOCALIDAD HACIENDA ARRIBA (SAN JOSE DE LA CONC,Unitario,1,1,Obra,1,0
137,146,PAVIMENTACION DE LA CALLE LOMAS DE LA HACIENDA TRAMO: DE CALLE LOMAS DE LAS DALIAS A LOMAS DE AGUA B,Unitario,1,1,Obra,1,0
138,148,PAVIMENTACION DE LA CALLE GALILEO TRAMO: BLVD. ARISTOTELES A FROMM CENTRO FAMILIAR LA SOLEDAD,Unitario,1,1,Obra,1,0
139,149,PAVIMENTACION DE LA CALLE FRAY RAUL TRAMO:  FRAY FELIPE A FRAY TOMAS LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
140,150,PROYECTO EJECUTIVO: CALLE RURAL LUCIO BLANCO COMUNIDADES DE LUCIO BLANCO Y SAN JUAN DE OTATES MUNICI,Unitario,1,1,Obra,1,0
141,164,"PROYECTO EJECUTIVO "" FORTALECIMIENTO DEL SITIO DE REPETICION MUNICIPAL DE MESA DE MEDINA, ADECUACION Y MANTENIMIENTO DEL SITIO"" LEÓN, GTO.",Unitario,1,1,Obra,1,0
142,162,PROYECTO EJECUTIVO DEL CIRCUITO RURAL: MIGUEL HIDALGO I-BENITO JUAREZ-SANTA ANA DEL CONDE MUNICIPIO,Unitario,1,1,Obra,1,0
143,158,"REHABILITACION DE SANITARIOS, EN LA PRIMARIA EUQUERIO  GUERRERO LOPEZ, CCT 11EPR0790D",Unitario,1,1,Obra,1,0
144,163,PROYECTO EJECUTIVO DEL CAMINO BARRETOS-LA SANDIA MUNICIPIO DE LEON. GTO,Unitario,1,1,Obra,1,0
145,129,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA LIBERTAD LOCALIDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
146,157,"PAVIMENTACION DEL CUARTO SUR DEL BLVD. ARISTOTELES, TRAMO: DE PAVIMENTO EXISTENTE A BLVD. LOMA DORAM",Unitario,1,1,Obra,1,0
147,143,REVESTIMIENTO DE CAMINO LOS JACALES-LA LUZ (EL COPETE) LOCALIDAD LA LUZ (EL COPETE); REVESTIMEINTO D,Unitario,1,1,Obra,1,0
148,131,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA PIEDRA AZUL II LOCALIDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
149,134,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA BRISAS DE SAN FRANCISCO LOCALIDAD LEON DE LOS ALDAMA,Unitario,1,1,Obra,1,0
150,135,CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA JARDINES DE LOMAS DE MEDINA LOCALIDAD MEDINA,Unitario,1,1,Obra,1,0
151,156,"CONSTRUCCION DE CUARTO ADICIONAL URBANO COLONIA MEDINA, LOCALIDAD MEDINA",Unitario,1,1,Obra,1,0
