Id_Oficio_Asignacion,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
97,DGOP/0071/CONT/2018,DGOP/0071/CONT/2018,Apr 22 2018 12:00AM,364,,68,,Obra,1,68,Construcción
98,DGOP/0074/CONT/2018,DGOP/0074/CONT/2018,Jun 11 2018 12:00AM,494,737,53,,Obra,3,56,Construcción
100,D/013/2018,D/013/2018,May 14 2018 12:00AM,438,,92,,Obra,3,92,Construcción
102,D/001-I/2018,D/001-I/2018,Jun 12 2018 12:00AM,15,726,56,,Obra,2,61,Construcción
104,DGOP/0524/PROY/2017,DGOP/0524/PROY/2017,Nov  5 2017 12:00AM,647,,20,,Obra,1,20,Proyectos
107,D/011/2018,D/011/2018,Jun 14 2018 12:00AM,457,,77,,Obra,3,77,Construcción
108,DGOP/0076/CONT/2018,DGOP/0076/CONT/2018,Apr 24 2018 12:00AM,744,653,60,,Obra,1,54,Construcción
109,DGOP/0106/CONT/2018,DGOP/0106/CONT/2018,May 15 2018 12:00AM,15,359,88,,Obra,1,54,Construcción
110,DGOP/0105/CONT/2018,DGOP/0105/CONT/2018,Jun 14 2018 12:00AM,482,87,56,,Obra,3,54,Construcción
111,DGOP/0104/CONT/20108,DGOP/0104/CONT/20108,May 15 2018 12:00AM,666,97,55,,Obra,3,54,Construcción
112,D/009/2018,D/009/2018,Jun 14 2018 12:00AM,156,415,55,,Obra,3,55,Construcción
113,DGOP/0111,DGOP/0111,May 24 2018 12:00AM,664,743,60,,Obra,3,61,Construcción
114,DGOP/CONT/0039/2018,DGOP/CONT/0039/2018,Jun 14 2018 12:00AM,237,743,88,,Obra,1,54,Construcción
115,DGOP/0046/CONT/2018,DGOP/0046/CONT/2018,Apr  9 2018 12:00AM,669,736,59,,Obra,1,54,Construcción
116,DGOP/0117/CONT/2018,DGOP/0117/CONT/2018,May 24 2018 12:00AM,539,,75,,Obra,1,75,Proyectos
117,DGOP/0100/CONT/2018,DGOP/0100/CONT/2018,May 14 2018 12:00AM,152,461,59,,Obra,2,62,Construcción
118,D/005/2018,D/005/2018,Jun  4 2018 12:00AM,418,464,55,,Obra,3,55,Construcción
119,DGOP/0099/CONT/2018,DGOP/0099/CONT/2018,May 14 2018 12:00AM,219,151,55,,Obra,3,55,Construcción
120,DGOP/0102/CONT/2018,DGOP/0102/CONT/2018,Jun 14 2018 12:00AM,366,746,88,,Obra,3,62,Construcción
121,DGOP/0089/CONT/2018,DGOP/0089/CONT/2018,May  9 2018 12:00AM,747,,73,,Obra,1,73,Construcción
122,DGOP/0090/CONT/2018,DGOP/0090/CONT/2018,May  9 2018 12:00AM,166,,73,,Obra,1,73,Construcción
123,DGOP/0091/CONT/2018,DGOP/0091/CONT/2018,May  9 2018 12:00AM,347,,73,,Obra,1,73,Construcción
