Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
164,1654,,CONTRATO,4855033.84,86732.12,1578301.45,1665033.57,3190000.27,48,2333001.61,41631.42,682452.7,724084.12,1608917.49
165,1714,,CONTRATO,4855033.84,137765.74,1665033.57,1802799.31,3052234.53,48,2333001.61,66127.56,724084.12,790211.68,1542789.93
166,1715,,CONTRATO,4855033.84,60296.07,1518005.38,1578301.45,3276732.39,48,2333001.61,28942.11,653510.59,682452.7,1650548.91
167,1766,,CONTRATO,4855033.84,81841.75,1802799.31,1884641.06,2970392.78,48,2333001.61,39284.04,790211.68,829495.72,1503505.89
168,2081,,CONTRATO,4855033.84,83496.39,1884641.06,1968137.45,2886896.39,48,2333001.61,40078.27,829495.72,869573.99,1463427.62
169,2121,,CONTRATO,4855033.84,15405.81,1968137.45,1983543.26,2871490.58,48,2333001.61,7394.79,869573.99,876968.78,1456032.83
170,2152,,CONTRATO,4855033.84,109959.68,1983543.26,2093502.94,2761530.9,48,2333001.61,52780.65,876968.78,929749.43,1403252.18
171,2232,,CONTRATO,4855033.84,4277.65,2093502.94,2097780.59,2757253.25,48,2333001.61,2053.27,929749.43,931802.7,1401198.91
172,2233,,CONTRATO,4855033.84,17960.73,2097780.59,2115741.32,2739292.52,48,2333001.61,8621.15,931802.7,940423.85,1392577.76
173,2244,,CONTRATO,4855033.84,5773.33,2123919.95,2129693.28,2725340.56,48,2333001.61,2771.2,944349.59,947120.79,1385880.82
174,2260,,CONTRATO,4855033.84,8178.63,2115741.32,2123919.95,2731113.89,48,2333001.61,3925.74,940423.85,944349.59,1388652.02
175,2280,,CONTRATO,4855033.84,6509.33,2129693.28,2136202.61,2718831.23,48,2333001.61,3124.48,947120.79,950245.27,1382756.34
176,2383,,CONTRATO,4855033.84,164903.8,2136202.61,2301106.41,2553927.43,48,2333001.61,79153.82,950245.27,1029399.09,1303602.52
177,2392,,CONTRATO,4855033.84,71775.13,2301106.41,2372881.54,2482152.3,48,2333001.61,34452.06,1029399.09,1063851.15,1269150.46
178,2399,,CONTRATO,4855033.84,207855.45,2372881.54,2580736.99,2274296.85,48,2333001.61,99770.62,1063851.15,1163621.77,1169379.84
179,2520,,CONTRATO,4855033.84,160881.64,2580736.99,2741618.63,2113415.21,48,2333001.61,1169379.84,1163621.77,2333001.61,0
180,9,,CONTRATO,234876.52,204464.73,0,204464.73,30411.79,0,0,0,0,0,0
181,1085,,CONTRATO,385101.52,19406.03,0,19406.03,365695.49,0,0,0,0,0,0
182,1090,,CONTRATO,385101.52,57091.29,19406.03,76497.32,308604.2,0,0,0,0,0,0
183,1214,,CONTRATO,385101.52,173485.4,76497.32,249982.72,135118.8,0,0,0,0,0,0
184,1317,,CONTRATO,385101.52,23064.16,249982.72,273046.88,112054.64,0,0,0,0,0,0
185,30,,CONTRATO,224025.88,82593.32,0,82593.32,141432.56,30,67207.76,24778,0,24778,42429.76
186,30,21,AMPLIACIÓN 1,26829.13,0,0,0,26829.13,0,0,0,0,0,0
187,228,,CONTRATO,224025.88,112222.76,82593.32,194816.08,29209.8,30,67207.76,33666.83,24778,58444.83,8762.93
188,228,21,AMPLIACIÓN 1,26829.13,0,0,0,26829.13,0,0,0,0,0,0
189,710,,CONTRATO,224025.88,25160.81,194816.08,219976.89,4048.99,30,67207.76,7548.24,58444.83,65993.07,1214.69
