Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
1744,536,3,4010.26
1745,537,1,292.85
1746,537,3,1464.27
1747,538,2,863.66
1748,539,2,1869.71
1749,540,2,1741.75
1750,541,1,766.67
1751,541,3,3833.35
1754,543,1,474.37
1755,543,3,2371.87
1756,544,1,884.96
1757,544,3,4424.79
1760,546,1,794.06
1761,546,3,3970.3
1762,547,1,878.03
1763,547,3,4390.14
1764,548,1,164.63
1765,548,3,823.16
1766,549,1,207.77
1767,549,3,1038.83
1768,550,1,388.04
1769,550,3,1940.18
1770,551,1,547.9
1771,551,3,2739.52
1772,552,1,8.24
1773,552,3,41.18
1774,553,1,208.35
1775,553,3,1041.77
1776,554,1,791.52
1777,554,3,3957.62
1778,555,1,975.8
1779,555,3,4878.99
1780,556,1,86.49
1781,556,3,432.44
1788,567,1,471.88
1789,567,3,2359.41
1790,606,1,1267.75
1791,606,3,6338.76
1794,608,1,988.62
1795,608,3,4943.08
1796,609,4,243.83
1797,610,4,154.03
1802,611,1,110.68
1803,611,3,553.42
1806,613,1,312.86
1807,613,3,1564.31
1810,614,1,770.51
1811,614,3,3852.55
1814,615,1,277.14
1815,615,3,1385.71
1816,616,4,161.38
1819,617,1,100.81
1820,617,3,504.07
1833,618,1,91.65
1834,618,3,458.26
1835,619,1,487.44
1836,619,3,2437.18
1839,620,1,717.69
1840,620,3,3588.47
1843,621,1,1431.07
1844,621,3,7155.33
1847,622,4,36.83
1848,623,4,27.83
1849,624,1,131.91
1850,624,3,659.54
1851,560,1,511.78
1852,560,3,2558.89
1857,625,1,391.66
1858,625,3,1958.31
1869,629,1,1780.17
1870,629,3,8900.86
1876,632,1,1092.69
1877,632,3,5463.46
1884,634,1,310.91
1885,634,3,1554.55
1886,604,2,1784.56
1891,635,1,510.74
1892,635,3,2553.71
1897,638,1,1711.77
1898,638,3,8558.84
1912,643,1,72.59
1913,643,3,362.97
1915,571,4,81.55
1918,645,1,35.86
1919,645,3,179.3
1926,642,4,74.98
1927,647,4,172.51
1933,649,4,271.3
1935,650,4,386.58
1938,651,1,583.65
1939,651,3,2918.27
1948,653,1,843.26
1949,653,3,4216.3
1952,654,1,263.47
1953,654,3,1317.34
1958,655,1,264.46
1959,655,3,1322.32
1962,656,1,306.96
1963,656,3,1534.81
1978,658,1,194.8
1979,658,3,974
1982,661,1,334.39
1983,661,3,1671.95
1986,662,1,128.54
1987,662,3,642.71
1996,605,1,119.91
1997,605,3,599.57
1998,573,1,1201.87
1999,573,3,6009.35
2001,666,4,111.17
2002,626,1,930.36
2003,626,3,4651.82
2004,627,1,714.26
2005,627,3,3571.3
2006,628,2,807.19
2007,636,2,1766.55
2010,667,1,1096.88
2011,667,3,5484.42
2012,668,4,293.44
2019,670,1,47.37
2020,670,3,236.83
2027,673,4,2594.11
2028,663,1,426.65
2029,663,3,2133.23
2030,664,1,195.12
2031,664,3,975.6
2032,665,1,416.7
2033,665,3,2083.5
2034,640,4,434.29
2037,674,1,302.83
2038,674,3,1514.14
2039,639,1,331.46
2040,639,3,1657.31
2041,641,1,360.2
2042,641,3,1801.02
2045,646,1,392.65
2046,646,3,1963.27
2051,676,1,87.25
2052,676,3,436.26
2055,677,1,2658.72
2056,677,3,13293.61
2059,678,1,751.53
2060,678,3,3757.67
2063,679,1,492.79
2064,679,3,2463.95
2067,680,1,376.19
2068,680,3,1880.96
2075,682,2,1378.85
2078,683,1,832
2079,683,3,4159.98
2084,685,1,742.89
2085,685,3,3714.43
2086,684,1,67.96
2087,684,3,339.81
12039,542,1,107.05
12040,542,3,535.26
12041,686,4,506.33
12046,687,1,211.8
12047,687,3,1059
12048,688,1,141.15
12049,688,3,705.74
12050,689,1,762.87
12051,689,3,3814.34
12056,690,1,569.85
12057,690,3,2849.26
12058,691,4,39.51
12059,692,4,150.94
12065,695,1,3287.89
12066,695,3,16439.46
12069,696,1,147.3
