Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,
105,59,2,88290639,03/06/2016 00:00,03/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,03/06/2017 00:00,,CUMPLIMIENTO,283024.62,
106,59,1,88290630,03/06/2016 00:00,03/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,03/06/2017 00:00,,ANTICIPO,849073.84,
107,64,2,4006-00089-9,03/06/2016 00:00,03/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE CV",03/06/2017 00:00,,CUMPLIMIENTO,199934.8,
108,64,1,4006-00088-0,03/06/2016 00:00,03/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE CV",03/06/2017 00:00,,ANTICIPO,599804.41,
109,65,2,1712768,03/06/2016 00:00,03/06/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",03/06/2017 00:00,,CUMPLIMIENTO,28469.55,
110,65,1,1712769,03/06/2016 00:00,03/06/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",03/06/2017 00:00,,ANTICIPO,85408.65,
111,66,2,1712768,03/06/2016 00:00,03/06/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",03/06/2017 00:00,,CUMPLIMIENTO,28469.55,
112,66,1,1712769,03/06/2016 00:00,03/06/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",03/06/2017 00:00,,ANTICIPO,85408.65,
113,62,1,4197-00225-0,06/06/2016 00:00,06/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",06/06/2017 00:00,,ANTICIPO,1499933.01,
114,62,2,4197-00226-7,06/06/2016 00:00,06/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",06/06/2017 00:00,,CUMPLIMIENTO,499977.67,
115,61,2,4197-00228-3,06/06/2016 00:00,06/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",06/06/2017 00:00,,CUMPLIMIENTO,137245.4,
116,61,1,4197-00227-8,06/06/2016 00:00,06/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",06/06/2017 00:00,,ANTICIPO,411736.22,
117,70,2,2038,20/06/2016 00:00,20/06/2016 00:00,ZURICH FIANZAS MEXICO S.A.,20/06/2017 00:00,,CUMPLIMIENTO,604832.28,
118,70,1,2037,20/06/2016 00:00,20/06/2016 00:00,ZURICH FIANZAS MEXICO S.A.,20/06/2017 00:00,,ANTICIPO,1814496.8,
119,71,2,III-488345-RC,09/06/2016 00:00,09/06/2016 00:00,FIANBZAS ATLAS S.A.,09/06/2017 00:00,,CUMPLIMIENTO,189916.01,
120,71,1,III-488344-RC,09/06/2016 00:00,09/06/2016 00:00,FIANBZAS ATLAS S.A.,09/06/2017 00:00,,ANTICIPO,569748.05,
121,72,2,4197-00230-4,09/06/2016 00:00,09/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",09/06/2017 00:00,,CUMPLIMIENTO,225650,
122,72,1,4197-00229-2,09/06/2016 00:00,09/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",09/06/2017 00:00,,ANTICIPO,676950.02,
123,73,2,III-488435-RC,10/06/2016 00:00,10/06/2016 00:00,"FIANZAS ATLAS, S.A.",10/06/2017 00:00,,CUMPLIMIENTO,59827.04,
124,73,1,III-488434-RC,10/06/2016 00:00,10/06/2016 00:00,"FIANZAS ATLAS, S.A.",10/06/2017 00:00,,ANTICIPO,179481.13,
125,74,2,4197-00232-4,10/06/2016 00:00,10/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",10/06/2017 00:00,,CUMPLIMIENTO,137711.23,
126,74,1,4197-00231-7,10/06/2016 00:00,10/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",10/06/2017 00:00,,ANTICIPO,413133.69,
127,75,2,88291230,15/06/2016 00:00,15/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,15/06/2017 00:00,,CUMPLIMIENTO,151592.16,
128,75,1,88291228,15/06/2016 00:00,15/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,15/06/2017 00:00,,ANTICIPO,454776.49,
129,76,2,III-488612-RC,15/06/2016 00:00,15/06/2016 00:00,"FIANZAS ATLAS, S.A. DE C.V.",15/06/2017 00:00,,CUMPLIMIENTO,366062.88,
130,76,1,III-488609-RC,15/06/2016 00:00,15/06/2016 00:00,"FIANZAS ATLAS, S.A. DE C.V.",15/06/2017 00:00,,ANTICIPO,1098188.66,
131,77,2,88291491,15/06/2016 00:00,15/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AF,15/06/2017 00:00,,CUMPLIMIENTO,198191.63,
132,77,1,88291490,15/06/2016 00:00,15/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AF,15/06/2017 00:00,,ANTICIPO,594574.89,
133,78,2,642827,15/06/2016 00:00,15/06/2016 00:00,FIANZAS DORAMA S.A.,15/06/2017 00:00,,CUMPLIMIENTO,327700,
134,78,1,643084,15/06/2016 00:00,15/06/2016 00:00,FIANZAS DORAMA S.A.,15/06/2017 00:00,,ANTICIPO,1638500,
137,79,2,88291417,15/06/2016 00:00,15/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,15/06/2017 00:00,,CUMPLIMIENTO,146330.69,
138,79,1,88291416,15/06/2016 00:00,15/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,15/06/2017 00:00,,ANTICIPO,438992.07,
139,80,2,III-488843-RC,15/06/2016 00:00,15/06/2016 00:00,"FIANZAS ATLAS, S.A.",15/06/2017 00:00,,CUMPLIMIENTO,54257.94,
140,81,2,88291354,16/06/2016 00:00,16/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,16/06/2017 00:00,,CUMPLIMIENTO,393301.21,
141,81,1,88291357,16/06/2016 00:00,16/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,16/06/2017 00:00,,ANTICIPO,1179903.64,
142,82,2,642703,16/06/2016 00:00,16/06/2016 00:00,FIANZAS DORAMA S.A.,16/06/2017 00:00,,CUMPLIMIENTO,1145162.99,
143,82,1,642703,16/06/2016 00:00,16/06/2016 00:00,FIANZAS DORAMA S.A.,16/06/2017 00:00,,ANTICIPO,1145162.99,
144,83,2,III-488607-RC,16/06/2016 00:00,16/06/2016 00:00,"FIANZAS ATLAS, S.A. DE C.V.",16/06/2017 00:00,,CUMPLIMIENTO,210500.91,
145,83,1,III-488606-RC,16/06/2016 00:00,16/06/2016 00:00,"FIANZAS ATLAS, S.A. DE C.V.",16/06/2017 00:00,,ANTICIPO,631502.72,
146,84,2,88291597,20/06/2016 00:00,20/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,20/06/2017 00:00,,CUMPLIMIENTO,176558.93,
147,84,1,88291600,20/06/2016 00:00,20/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,20/06/2017 00:00,,ANTICIPO,529676.81,
148,85,2,3449-00542-1,20/06/2016 00:00,20/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",20/06/2017 00:00,,CUMPLIMIENTO,164269.26,
149,85,1,3449-00541-0,20/06/2016 00:00,20/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",20/06/2017 00:00,,ANTICIPO,492807.77,
150,86,2,88291606,21/06/2016 00:00,21/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,21/06/2017 00:00,,CUMPLIMIENTO,217230.54,
151,86,1,88291609,21/06/2016 00:00,21/06/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,21/06/2017 00:00,,ANTICIPO,651691.62,
152,87,2,3449-00539-7,21/06/2016 00:00,21/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",21/06/2017 00:00,,CUMPLIMIENTO,75321.72,
153,87,1,3449-00538-4,21/06/2016 00:00,21/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",21/06/2017 00:00,,ANTICIPO,225965.16,
154,88,2,3449-005396-7,21/06/2016 00:00,21/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",21/06/2017 00:00,,CUMPLIMIENTO,75321.72,
155,88,1,3449-00538-4,21/06/2016 00:00,21/06/2016 00:00,"AFIANZADORA ASERTA, S.A. DE C.",21/06/2017 00:00,,ANTICIPO,225965.16,
156,90,2,1707449,21/06/2016 00:00,21/06/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",21/06/2017 00:00,,CUMPLIMIENTO,78076.29,
157,90,1,1707448,21/06/2016 00:00,21/06/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",21/06/2017 00:00,,ANTICIPO,234228.86,
158,93,2,1717484,04/07/2016 00:00,04/07/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",04/07/2017 00:00,,CUMPLIMIENTO,332085.97,
159,93,1,1717482,04/07/2016 00:00,04/07/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",04/07/2017 00:00,,ANTICIPO,996257.91,
160,91,2,2006541,04/07/2016 00:00,04/07/2016 00:00,SOFIMEX S.A.,04/07/2017 00:00,,CUMPLIMIENTO,235716.42,
