Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
498,77,22/11/2016 10:19,19/11/2016 00:00,21/09/2016 00:00,590/2016,23/09/2016 00:00,AUTORIZADO,TÉRMINADO
499,183,22/11/2016 10:27,29/10/2016 00:00,24/10/2016 00:00,593/2016,14/11/2016 00:00,AUTORIZADO,TÉRMINADO
501,72,22/11/2016 10:56,15/11/2016 00:00,11/10/2016 00:00,594/2016,27/10/2016 00:00,AUTORIZADO,TÉRMINADO
502,108,22/11/2016 13:13,01/10/2016 00:00,14/09/2016 00:00,592/2016,07/10/2016 00:00,AUTORIZADO,TÉRMINADO
503,117,22/11/2016 14:20,30/10/2016 00:00,19/09/2016 00:00,595/2016,03/10/2016 00:00,AUTORIZADO,TÉRMINADO
504,65,22/11/2016 15:01,08/10/2016 00:00,15/09/2016 00:00,596/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
505,66,22/11/2016 15:03,08/10/2016 00:00,15/09/2016 00:00,597/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
506,96,22/11/2016 15:10,06/12/2016 00:00,10/10/2016 00:00,598/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
507,194,23/11/2016 14:03,31/10/2016 00:00,04/11/2016 00:00,599/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
508,137,23/11/2016 14:12,28/10/2016 00:00,10/10/2016 00:00,601/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
509,126,23/11/2016 14:24,07/01/2017 00:00,09/11/2016 00:00,600/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
510,213,23/11/2016 14:41,24/12/2016 00:00,28/10/2016 00:00,602/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
511,213,23/11/2016 14:45,24/12/2016 00:00,04/11/2016 00:00,603/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
512,225,23/11/2016 14:53,04/11/2016 00:00,07/11/2016 00:00,604/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
513,111,23/11/2016 15:08,01/10/2016 00:00,01/09/2016 00:00,555-1/2016,12/09/2016 00:00,AUTORIZADO,TÉRMINADO
