Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
52,46,E-2310-702-6201-G/0043/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA II LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
53,46,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,52,1,1
54,50,E-2310-702-6201-G/0044/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA III LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
55,50,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,54,1,1
56,50,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,54,2,2
57,49,E-2510-702-6201-G/0045/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA IV LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
58,49,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,57,1,1
59,49,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,57,2,2
60,48,E-2310-702-6201-G/0046/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA V LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
61,48,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,60,1,1
62,48,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,60,2,2
63,47,"E-2310-702-6201-G/0047/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA VI LEON, GTO",ORIGINAL,1,10/03/2010 00:00,,0,0
64,47,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,63,1,1
65,47,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,63,2,2
66,57,"E-2310-702-6201-G/0048/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA VII LEON, GTO",ORIGINAL,1,10/03/2010 00:00,,0,0
67,57,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,66,1,1
68,57,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,66,2,2
69,86,"A-1199-316-6502-H/0049/2010  PERITAJE ESTRUCTURAL DEL MERCADO COMONFORT EN LA CIUDAD DE LEON, GTO",ORIGINAL,1,10/03/2010 00:00,,0,0
70,45,E-2310-702-6201-G/0050/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA X LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
71,45,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,70,1,1
72,44,"E-2310-702-6201-G/0051/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA XI LEON, GTO",ORIGINAL,1,10/03/2010 00:00,,0,0
73,44,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,72,1,1
74,44,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,72,2,2
75,42,E-2310-702-6201-G/0052/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA XII LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
76,42,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,75,1,1
77,42,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,75,2,2
78,43,E-2310-702-6201-G/0053/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA XIII LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
79,43,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,78,1,1
80,43,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,78,2,2
81,41,E-2310-702-6201-G/0054/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA XIV LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
82,41,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,81,1,1
83,41,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,81,2,2
84,54,E-2310-702-6201-G/0055/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA XVII LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
85,54,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,84,1,1
86,54,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,84,2,2
87,55,"E-2310-702-6201-G/0056/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA XVI LEON, GTO",ORIGINAL,1,10/03/2010 00:00,,0,0
88,55,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,87,1,1
89,55,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,87,2,2
90,69,A-2310-321-6201-G/0057/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PODA DE ARBOLES ZONA NORTE LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
91,69,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,90,1,1
92,69,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,90,2,2
93,56,A-2310-321-6201-G/0058/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PODA DE ARBOLES ZONA SUR LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
94,56,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,93,1,1
95,56,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,93,2,2
96,70,A-2310-321-6201-G/0059/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PODA DE ARBOLES ZONA CENTRO LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
97,70,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,96,1,1
98,70,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,96,2,2
99,71,A-2310-321-6201-G/0060/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA MALECON DEL RIO LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
100,71,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,99,1,1
101,72,A-2310-321-6201-G/0061/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA DE OFICINAS MUNICIPALES LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
102,72,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,101,1,1
103,72,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,101,2,2
104,65,A-2310-321-6201-G/0062/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA DISTRIBUIDOR VIAL Y BLVD. AEROPUERTO LEON GTO,ORIGINAL,1,10/03/2010 00:00,,0,0
105,65,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,104,1,1
106,38,A-2310-321-6201-G/0063/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA AREAS VERDES DE MINIDEPORTIVAS COMUDE LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
107,38,AMPLIACION 1,AMPLIACION,1,10/03/2010 00:00,106,1,1
108,38,AMPLIACION 2,AMPLIACION,1,10/03/2010 00:00,106,2,2
109,68,B-5051-236-7101-H/0064/2010  PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: BUFAS DE TEQUISQUIAPAN TRAMO: VOLCAN DE JORULLO-CERRO DE LA BUFA COL. LOMAS DE JEREZ; GERANIOS TRAMO: BLVD. J.J. TORRES LANDA-GONZALEZ BOCANEGRA COL. JARDINES DE JEREZ; CALLE JEREZ DE BLANES TRAMO: JEREZ DE GRANADA-BLVD. DELTA COL. VALLE DE JEREZ; Y JEREZ DE CARTAGENA TRAMO: BUFAS DE ZACATECAS-JEREZ DE LA LUZ COL. VALLE DE JEREZ I SECC. LEON,ORIGINAL,1,10/03/2010 00:00,,0,0
110,122,A-2510-315-6101-H/0065/2010  PROYECTO EJECUTIVO EJE METROPOLITANO (BLVD. JUAN ALONSO DE TORRES ) IMAGEN URBANA EN BANQUETAS Y CAMELLONES TRAMO: JOSE MA. MORELOS A BLVD. DELTA LEON,ORIGINAL,1,17/03/2010 00:00,,0,0
111,122,AMPLIACION 1,AMPLIACION,1,17/03/2010 00:00,110,1,1
112,58,E-2310-702-6201-G/0066/2010  MANTENIMIENTO INTEGRAL DE PARQUES Y JARDINES PARA LA ZONA URBANA VIII LEON,ORIGINAL,1,17/03/2010 00:00,,0,0
