Id_Oficio_Asignacion,Año,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
0000000207,2018,DGOP/0177/CONT/2018,DGOP/0177/CONT/2018,2018-06-20 00:00:00,0000000543,,0000000059,,Obra,0000000001,0000000054,Construcción
0000000208,2018,DGOP/0178/CONT/2018,DGOP/0178/CONT/2018,2018-07-24 00:00:00,0000000074,,0000000069,,Obra,0000000001,0000000069,Construcción
0000000209,2018,DGOP/0179/CONT/2018,DGOP/0179/CONT/2018,2018-06-20 00:00:00,0000000619,,0000000083,,Obra,0000000001,0000000083,Proyectos
0000000210,2018,DGOP/0180/CONT/2018,DGOP/0180/CONT/2018,2018-06-20 00:00:00,0000000578,0000000682,0000000059,,Obra,0000000001,0000000061,Construcción
0000000211,2018,DGOP/0181/CONT/2018,DGOP/0181/CONT/2018,2018-06-20 00:00:00,0000000365,,0000000088,,Obra,0000000001,0000000061,Construcción
0000000212,2018,DGOP/0182/CONT/2018,DGOP/0182/CONT/2018,2018-07-24 00:00:00,0000000310,,0000000088,,Obra,0000000001,0000000062,Construcción
0000000213,2018,DGOP/0183/CONT/2018,DGOP/0183/CONT/2018,2018-07-03 00:00:00,0000000607,0000000762,0000000055,,Obra,0000000001,0000000055,Construcción
0000000214,2018,DGOP/0184/CONT/2018,DGOP/0184/CONT/2018,2018-07-03 00:00:00,0000000456,0000000693,0000000059,,Obra,0000000001,0000000054,Construcción
0000000215,2018,DGOP/0185/CONT/2018,DGOP/0185/CONT/2018,2018-07-03 00:00:00,0000000656,0000000753,0000000056,,Obra,0000000001,0000000061,Construcción
0000000216,2018,DGOP/0186/CONT/2018,DGOP/0186/CONT/2018,2018-07-03 00:00:00,0000000623,0000000676,0000000059,,Obra,0000000001,0000000054,Construcción
0000000217,2018,DGOP/0187/CONT/2018,DGOP/0187/CONT/2018,2018-07-03 00:00:00,0000000234,0000000753,0000000056,,Obra,0000000001,0000000061,Construcción
0000000218,2018,DGOP/0188/CONT/2018,DGOP/0188/CONT/2018,2018-07-04 00:00:00,0000000763,,0000000084,,Obra,0000000001,0000000084,Proyectos
0000000220,2018,DGOP/0190/CONT/2018,DGOP/0190/CONT/2018,2018-07-04 00:00:00,0000000364,,0000000068,,Obra,0000000001,0000000068,Construcción
0000000221,2018,DGOP/0191/CONT/20108,DGOP/0191/CONT/20108,2018-07-24 00:00:00,0000000724,,0000000068,,Obra,0000000001,0000000068,Construcción
0000000222,2018,DGOP/0192/CONT/2018,DGOP/0192/CONT/2018,2018-07-03 00:00:00,0000000423,0000000087,0000000053,,Obra,0000000001,0000000053,Construcción
0000000223,2018,DGOP/0193/CONT/2018,DGOP/0193/CONT/2018,2018-07-20 00:00:00,0000000186,,0000000018,,Obra,0000000001,0000000018,Proyectos
0000000224,2018,DGOP/0152/CONT/2018,DGOP/0152/CONT/2018,2018-06-07 00:00:00,0000000271,,0000000087,,Obra,0000000001,0000000087,Proyectos
0000000225,2018,DGOP/0189/CONT/2018,DGOP/0189/CONT/2018,2018-07-04 00:00:00,0000000648,0000000753,0000000056,,Obra,0000000001,0000000061,Construcción
0000000226,2018,DGOP/0148/CONT/2018,DGOP/0148/CONT/2018,2018-06-07 00:00:00,0000000219,0000000764,0000000056,,Obra,0000000002,0000000053,Construcción
0000000227,2018,DGOP/0124/CONT/2018,DGOP/0124/CONT/2018,2018-05-28 00:00:00,0000000614,0000000755,0000000060,,Obra,0000000001,0000000061,Construcción
0000000228,2018,DGOP/0194/CONT/2018,DGOP/0194/CONT/2018,2018-07-20 00:00:00,0000000493,0000000352,0000000088,,Obra,0000000002,0000000062,Construcción
0000000229,2018,DGOP/0195/CONT/2018,DGOP/0195/CONT/2018,2018-07-20 00:00:00,0000000623,0000000743,0000000056,,Obra,0000000002,0000000061,Construcción
0000000230,2018,DGOP/0196/CONT/2018,DGOP/0196/CONT/2018,2018-07-20 00:00:00,0000000016,0000000271,0000000056,,Obra,0000000002,0000000061,Construcción
0000000231,2018,DGOP/0197/CONT/2018,DGOP/0197/CONT/2018,2018-07-20 00:00:00,0000000543,0000000229,0000000058,,Obra,0000000002,0000000058,Construcción
0000000232,2018,DGOP/0198/CONT/2018,DGOP/0198/CONT/2018,2018-07-20 00:00:00,0000000505,0000000089,0000000057,,Obra,0000000002,0000000057,Construcción
0000000233,2018,DGOP/0201/CONT/2018,DGOP/0201/CONT/2018,2018-07-20 00:00:00,0000000391,0000000735,0000000059,,Obra,0000000002,0000000054,Construcción
0000000234,2018,DGOP/0202/CONT/2018,DGOP/0202/CONT/2018,2018-07-20 00:00:00,0000000326,0000000087,0000000055,,Obra,0000000002,0000000055,Construcción
0000000235,2018,DGOP/0203/CONT/2018,DGOP/0203/CONT/2018,2018-07-20 00:00:00,0000000512,0000000729,0000000056,,Obra,0000000001,0000000062,Construcción
0000000236,2018,DGOP/0204/CONT/2018,DGOP/0204/CONT/2018,2018-07-27 00:00:00,0000000482,0000000696,0000000057,,Obra,0000000001,0000000057,Construcción
0000000237,2018,DGOP/0205/CONT/2018,DGOP/0205/CONT/2018,2018-08-14 00:00:00,0000000347,0000000765,0000000057,,Obra,0000000001,0000000057,Construcción
0000000238,2018,DGOP/0206/CONT/2018,DGOP/0206/CONT/2018,2018-07-27 00:00:00,0000000636,0000000765,0000000059,,Obra,0000000001,0000000054,Construcción
0000000239,2018,DGOP/0207/CONT/2018,DGOP/0207/CONT/2018,2018-07-27 00:00:00,0000000055,0000000765,0000000088,,Obra,0000000001,0000000062,Construcción
0000000240,2018,DGOP/0208/CONT/2018,DGOP/0208/CONT/2018,2018-07-27 00:00:00,0000000447,0000000694,0000000088,,Obra,0000000001,0000000062,Construcción
0000000241,2018,DGOP/0209/CONT/2018,DGOP/0209/CONT/2018,2018-07-27 00:00:00,0000000522,0000000694,0000000059,,Obra,0000000001,0000000054,Construcción
0000000242,2018,DGOP/0210/CONT/2018,DGOP/0210/CONT/2018,2018-07-27 00:00:00,0000000364,0000000694,0000000056,,Obra,0000000001,0000000061,Construcción
0000000243,2018,DGOP/0211/CONT/2018,DGOP/0211/CONT/2018,2018-07-27 00:00:00,0000000294,0000000766,0000000056,,Obra,0000000001,0000000061,Construcción
