Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
0000000077,0000000169,1,ANTICIPO,2018-07-16 00:00:00,21,2018-07-16 00:00:00,2018-10-13 00:00:00,S/N RECAL,2018-07-25 00:00:00,DGOP/DAyCFO/060/2018,2018-07-31 00:00:00,K 31/07/2018,2018-06-25 00:00:00,2018-09-22 00:00:00
0000000078,0000000188,1,ANTICIPO,2018-07-04 00:00:00,24,2018-07-05 00:00:00,2018-10-09 00:00:00,S/N RECAL,2018-07-11 00:00:00,DGOP/DAyCFO/061/2018,2018-07-18 00:00:00,K 31/07/2018,2018-06-11 00:00:00,2018-09-15 00:00:00
0000000079,0000000189,1,ANTICIPO,2018-07-04 00:00:00,24,2018-07-05 00:00:00,2018-10-09 00:00:00,S/N RECAL,2018-07-11 00:00:00,DGOP/DAyCFO/061/2018,2018-07-18 00:00:00,K 31/07/2018,2018-06-11 00:00:00,2018-09-15 00:00:00
0000000080,0000000190,1,ANTICIPO,2018-07-04 00:00:00,24,2018-07-05 00:00:00,2018-10-09 00:00:00,S/N RECAL,2018-07-11 00:00:00,DGOP/DAyCFO/061/2018,2018-07-18 00:00:00,K 31/07/2018,2018-06-11 00:00:00,2018-09-15 00:00:00
0000000081,0000000094,1,SITIO,2018-08-01 00:00:00,21,2018-06-04 00:00:00,2018-06-30 00:00:00,S/N PRORR,2018-06-07 00:00:00,DGOP/CT/REC/070/18,2018-06-14 00:00:00,POR RETRASO EN ENTREGA DE SITIO 
,2018-05-14 00:00:00,2018-06-09 00:00:00
0000000082,0000000128,1,SITIO,2018-08-01 00:00:00,16,2018-06-27 00:00:00,2018-09-10 00:00:00,S/N RECAL ,2018-06-28 00:00:00,DGOP/CT/REC/076/18,2018-07-05 00:00:00,POR RETRASO EN ENTREGA DE SITIO 
,2018-06-11 00:00:00,2018-08-25 00:00:00
0000000084,0000000156,1,ANTICIPO,2018-07-23 00:00:00,28,2018-07-23 00:00:00,2018-09-29 00:00:00,S/N RECAL,2018-07-27 00:00:00,DGOP/DAyCFO/063/2018,2018-08-01 00:00:00,K 01/08/2018,2018-06-25 00:00:00,2018-09-01 00:00:00
0000000085,0000000157,1,ANTICIPO,2018-07-23 00:00:00,28,2018-07-23 00:00:00,2018-09-29 00:00:00,S/N RECAL,2018-07-27 00:00:00,DGOP/DAyCFO/064/2018,2018-08-01 00:00:00,K 01/08/2018,2018-06-25 00:00:00,2018-09-01 00:00:00
