Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
0000000019,0000000099,1,2018-10-01 00:00:00,2018-07-02 00:00:00,2018-12-29 00:00:00,5311912.61,0.00,0.00,0000000001
0000000020,0000000128,1,2018-11-12 00:00:00,2018-06-27 00:00:00,2018-09-29 00:00:00,93736.73,0.00,0.00,0000000001
0000000022,0000000173,1,2018-10-30 00:00:00,2018-08-13 00:00:00,2018-12-01 00:00:00,830681.23,30.00,249204.35,0000000001
0000000023,0000000169,1,2018-10-01 00:00:00,2018-07-16 00:00:00,2018-10-13 00:00:00,93735.81,0.00,0.00,0000000001
0000000024,0000000119,1,2018-10-01 00:00:00,2018-07-05 00:00:00,2018-10-02 00:00:00,81562.72,0.00,0.00,0000000001
0000000025,0000000131,1,2018-10-08 00:00:00,2018-06-18 00:00:00,2019-02-16 00:00:00,1030657.71,0.00,0.00,0000000001
0000000026,0000000416,1,2018-09-07 00:00:00,2018-07-06 00:00:00,2018-09-26 00:00:00,93735.81,0.00,0.00,0000000001
0000000028,0000000167,1,2018-10-30 00:00:00,2018-06-25 00:00:00,2018-12-15 00:00:00,556523.42,0.00,0.00,0000000001
0000000029,0000000339,1,2018-11-08 00:00:00,2018-08-27 00:00:00,2018-12-18 00:00:00,47991.70,0.00,0.00,0000000001
0000000030,0000000308,1,2018-11-23 00:00:00,2018-09-10 00:00:00,2018-12-28 00:00:00,348833.46,0.00,0.00,0000000001
0000000031,0000000340,1,2018-11-23 00:00:00,2018-08-17 00:00:00,2018-12-14 00:00:00,186184.02,0.00,0.00,0000000001
0000000032,0000000300,1,2018-11-20 00:00:00,2018-09-24 00:00:00,2018-12-03 00:00:00,455932.58,30.00,136779.76,0000000001
0000000033,0000000183,1,2018-11-23 00:00:00,2018-07-16 00:00:00,2018-08-25 00:00:00,18070.12,0.00,0.00,0000000001
0000000034,0000000450,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,106585.11,0.00,0.00,0000000001
0000000035,0000000451,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,149689.90,0.00,0.00,0000000001
0000000036,0000000452,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,51784.30,0.00,0.00,0000000001
0000000037,0000000445,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,148708.00,0.00,0.00,0000000001
0000000038,0000000446,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,71178.02,0.00,0.00,0000000001
0000000039,0000000447,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,64707.29,0.00,0.00,0000000001
0000000040,0000000448,1,2018-11-16 00:00:00,2018-09-24 00:00:00,2018-12-15 00:00:00,6470.73,0.00,0.00,0000000001
