Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
28182,0000000380,42222,7.00,7.00,0.00,7.00,0.00,10827.70,75793.90,0.00,0.00
28206,0000000764,5935,219.25,253.67,328.77,582.44,-363.19,256.88,65162.75,253.67,363.19
28207,0000000764,5939,400.27,196.20,400.27,596.47,-196.20,8.53,1673.59,196.20,196.20
28208,0000000764,5940,11608.23,5689.85,11607.78,17297.63,-5689.40,4.45,25319.83,5689.40,5689.40
28209,0000000764,5941,400.27,596.47,0.00,596.47,-196.20,4.78,2851.13,196.20,196.20
28210,0000000764,5961,175.00,262.19,0.00,262.19,-87.19,4.89,1282.11,87.19,87.19
28211,0000000764,5963,405.36,10.80,594.24,605.04,-199.68,346.55,3742.74,10.80,199.68
28212,0000000764,5964,20.00,10.00,0.00,10.00,10.00,13.04,130.40,0.00,0.00
28213,0000000764,15946,0.00,12.40,0.00,12.40,-12.40,32.50,403.00,12.40,12.40
28214,0000000764,15947,0.00,1.00,0.00,1.00,-1.00,11751.62,11751.62,1.00,1.00
28215,0000000764,15940,0.00,2.00,0.00,2.00,-2.00,78.82,157.64,2.00,2.00
28216,0000000764,15941,0.00,2.00,0.00,2.00,-2.00,44.09,88.18,2.00,2.00
28217,0000000764,15942,0.00,2.00,0.00,2.00,-2.00,49.94,99.88,2.00,2.00
28218,0000000764,15939,0.00,10.00,0.00,10.00,-10.00,40.33,403.30,10.00,10.00
28219,0000000764,15949,0.00,2.00,0.00,2.00,-2.00,269.00,538.00,2.00,2.00
28220,0000000764,15945,0.00,3.00,0.00,3.00,-3.00,104.66,313.98,3.00,3.00
28221,0000000764,15944,0.00,20.00,0.00,20.00,-20.00,298.74,5974.80,20.00,20.00
28222,0000000764,15943,0.00,1.00,0.00,1.00,-1.00,513.24,513.24,1.00,1.00
28223,0000000764,15950,0.00,4.00,0.00,4.00,-4.00,147.94,591.76,4.00,4.00
28224,0000000764,15938,0.00,1.00,0.00,1.00,-1.00,1882.61,1882.61,1.00,1.00
28225,0000000764,16016,0.00,67.50,0.00,67.50,-67.50,46.84,3161.70,67.50,67.50
28226,0000000764,16017,0.00,1.00,0.00,1.00,-1.00,818.66,818.66,1.00,1.00
28227,0000000764,16018,0.00,1.00,0.00,1.00,-1.00,2357.95,2357.95,1.00,1.00
28228,0000000764,16019,0.00,65.00,0.00,65.00,-65.00,221.13,14373.45,65.00,65.00
28229,0000000765,9104,246.80,102.68,39.58,142.26,104.54,252.43,25919.51,0.00,0.00
28230,0000000765,9105,1234.00,342.27,197.89,540.16,693.84,11.47,3925.84,0.00,0.00
28231,0000000765,9109,381.28,489.45,282.98,772.43,-391.15,57.51,28148.27,391.15,391.15
28232,0000000765,9117,1234.00,342.27,197.89,540.16,693.84,305.14,104440.27,0.00,0.00
28233,0000000765,9143,269.76,33.98,0.00,33.98,235.78,39.57,1344.59,0.00,0.00
28234,0000000766,12087,1.00,1.00,0.00,1.00,0.00,4606.19,4606.19,0.00,0.00
28245,0000000767,12075,200.00,5.00,0.00,5.00,195.00,4902.12,24510.60,0.00,0.00
28246,0000000767,12077,1200.00,20.00,0.00,20.00,1180.00,49.18,983.60,0.00,0.00
28247,0000000767,12078,200.00,5.00,0.00,5.00,195.00,12.23,61.15,0.00,0.00
28248,0000000767,12079,200.00,1.00,0.00,1.00,199.00,10.21,10.21,0.00,0.00
28249,0000000767,12082,300.00,8.00,0.00,8.00,292.00,89.74,717.92,0.00,0.00
28250,0000000767,12083,600.00,15.00,0.00,15.00,585.00,11.17,167.55,0.00,0.00
28251,0000000767,12084,400.00,5.00,0.00,5.00,395.00,108.84,544.20,0.00,0.00
28252,0000000767,12085,2400.00,27.00,0.00,27.00,2373.00,29.30,791.10,0.00,0.00
28253,0000000767,12086,200.00,5.00,0.00,5.00,195.00,176.97,884.85,0.00,0.00
28254,0000000767,12088,200.00,5.00,0.00,5.00,195.00,73.46,367.30,0.00,0.00
28255,0000000768,12075,200.00,164.00,5.00,169.00,31.00,4902.12,803947.68,0.00,0.00
28256,0000000768,12077,1200.00,656.00,20.00,676.00,524.00,49.18,32262.08,0.00,0.00
28257,0000000768,12078,200.00,164.00,5.00,169.00,31.00,12.23,2005.72,0.00,0.00
28258,0000000768,12080,200.00,4.00,0.00,4.00,196.00,22.33,89.32,0.00,0.00
28259,0000000768,12081,200.00,2.00,0.00,2.00,198.00,29.09,58.18,0.00,0.00
28260,0000000768,12082,300.00,238.00,8.00,246.00,54.00,89.74,21358.12,0.00,0.00
28261,0000000768,12083,600.00,493.00,15.00,508.00,92.00,11.17,5506.81,0.00,0.00
28262,0000000768,12084,400.00,164.00,5.00,169.00,231.00,108.84,17849.76,0.00,0.00
28263,0000000768,12085,2400.00,856.00,27.00,883.00,1517.00,29.30,25080.80,0.00,0.00
28264,0000000768,12086,200.00,164.00,5.00,169.00,31.00,176.97,29023.08,0.00,0.00
28265,0000000768,12088,200.00,164.00,5.00,169.00,31.00,73.46,12047.44,0.00,0.00
28266,0000000769,14281,146.50,140.00,0.00,140.00,6.50,46.70,6538.00,0.00,0.00
28267,0000000769,14282,6.00,6.00,0.00,6.00,0.00,82.00,492.00,0.00,0.00
28268,0000000769,14283,2.00,2.00,0.00,2.00,0.00,140.78,281.56,0.00,0.00
