Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar,Periodo,Num_Rows
0000000203,0000000203,,CONTRATO,8560193.85,984980.79,0.00,2611883.39,5948310.46,30.00,2568058.16,295494.24,0.00,783565.02,1784493.14,2018,0
0000000204,0000000204,,CONTRATO,254561.58,129266.13,0.00,173516.64,81044.94,30.00,76368.47,38779.84,0.00,52054.99,24313.48,2018,0
0000000205,0000000205,,CONTRATO,178711.80,46299.45,0.00,46299.45,132412.35,30.00,53613.54,13889.84,0.00,13889.84,39723.70,2018,0
0000000206,0000000206,,CONTRATO,178711.80,80565.25,0.00,126864.70,51847.10,30.00,53613.54,24169.58,0.00,38059.42,15554.12,2018,0
0000000207,0000000207,,CONTRATO,178711.80,26750.84,0.00,153615.54,25096.26,30.00,53613.54,15554.12,0.00,15554.12,38059.42,2018,0
0000000208,0000000208,,CONTRATO,178711.80,46299.45,0.00,46299.45,132412.35,30.00,53613.54,13889.84,0.00,13889.84,39723.70,2018,0
0000000209,0000000209,,CONTRATO,178711.80,79333.51,0.00,125632.96,53078.84,30.00,53613.54,23800.05,0.00,37689.89,15923.65,2018,0
0000000210,0000000210,,CONTRATO,178711.80,26413.46,0.00,152046.42,26665.38,30.00,53613.54,15923.65,0.00,15923.65,37689.89,2018,0
0000000211,0000000211,,CONTRATO,1170101.62,96294.99,0.00,114387.87,1055713.75,30.00,351030.49,28888.50,0.00,34316.36,316714.13,2018,0
0000000212,0000000212,,CONTRATO,1046410.27,267175.91,0.00,267175.91,779234.36,30.00,313923.07,80152.77,0.00,80152.77,233770.30,2018,0
0000000213,0000000213,,CONTRATO,22268127.00,8511.73,0.00,8511.73,22259615.27,30.00,6680438.10,2553.52,0.00,2553.52,6677884.58,2018,0
0000000214,0000000214,,CONTRATO,5099090.18,326781.20,0.00,1230665.47,3868424.71,30.00,1529727.04,98034.36,0.00,369199.64,1160527.40,2018,0
0000000215,0000000215,,CONTRATO,82341.01,43043.33,0.00,60312.20,22028.81,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000216,0000000216,,CONTRATO,1000000.00,517314.41,0.00,517314.41,482685.59,30.00,300000.00,155194.32,0.00,155194.32,144805.68,2018,0
